,Row Labels,Favorites,Retweets
2015,6,27389,18889
,7,126233,82830
,8,42734,23294
,9,22971,12400
,10,57981,28041
,11,136428,67650
,12,49859,22086
2016,1,55595,24439
,2,159916,61866
,3,219331,82399
,4,121879,45735
,5,217186,71080
,6,296771,107221
,7,428250,169267
,8,486757,163684
,9,259141,101030
,10,332975,145875
,11,233124,82468
,12,279620,67952
2017,1,2058361,480318
,2,502813,115664
,3,108475,21319
,4,1075512,255021
,5,44843,10426
,6,391985,101562
,7,603377,147707
,8,1398100,310350
,9,1056649,254200
,10,400908,102613
,11,1012719,238861
,12,1014065,268015
2018,1,4910510,1167066
,2,2832723,676937
,3,2132940,519020
,4,2905763,710866
,5,1245155,310177
,6,5880405,1446069
,7,3013728,749404
,8,2232704,553025
,9,1107911,282027
,10,4251888,1125938
,11,3146945,792697
,12,8110960,1922321
2019,1,4278905,955198
,,,