YEAR,MONTH,Favorites,Retweets
2015,6,27389,18889
2015,7,126233,82830
2015,8,42734,23294
2015,9,22971,12400
2015,10,57981,28041
2015,11,136428,67650
2015,12,49859,22086
2016,1,55595,24439
2016,2,159916,61866
2016,3,219331,82399
2016,4,121879,45735
2016,5,217186,71080
2016,6,296771,107221
2016,7,428250,169267
2016,8,486757,163684
2016,9,259141,101030
2016,10,332975,145875
2016,11,233124,82468
2016,12,279620,67952
2017,1,2058361,480318
2017,2,502813,115664
2017,3,108475,21319
2017,4,1075512,255021
2017,5,44843,10426
2017,6,391985,101562
2017,7,603377,147707
2017,8,1398100,310350
2017,9,1056649,254200
2017,10,400908,102613
2017,11,1012719,238861
2017,12,1014065,268015
2018,1,4910510,1167066
2018,2,2832723,676937
2018,3,2132940,519020
2018,4,2905763,710866
2018,5,1245155,310177
2018,6,5880405,1446069
2018,7,3013728,749404
2018,8,2232704,553025
2018,9,1107911,282027
2018,10,4251888,1125938
2018,11,3146945,792697
2018,12,8110960,1922321
2019,1,4278905,955198